CrashID,State,Date,Month,Year,Dayweek,Time,Crash_Type,Number_of_Fatalities,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Articulated_Truck_Involvement,Speed_Limit
3201701010001,QLD,01-JAN-2017,1,2017,Sunday,0:00:00,Pedestrian,1,No,No,No,50
5201701010001,WA,01-JAN-2017,1,2017,Sunday,16:30:00, Multiple vehicle,1,No,No,No,100
5201701010002,WA,01-JAN-2017,1,2017,Sunday,17:14:00, Multiple vehicle,1,No,No,No,70
1201701020001,NSW,02-JAN-2017,1,2017,Monday,18:10:00,Single vehicle,1,No,No,No,50
1201701020002,NSW,02-JAN-2017,1,2017,Monday,13:15:00, Multiple vehicle,1,No,No,No,80
3201701020002,QLD,02-JAN-2017,1,2017,Monday,3:00:00,Pedestrian,1,No,No,No,100
5201701020003,WA,02-JAN-2017,1,2017,Monday,18:27:00,Single vehicle,1,No,No,No,110
1201701030003,NSW,03-JAN-2017,1,2017,Tuesday,14:15:00, Multiple vehicle,2,No,Yes,Yes,100
3201701030003,QLD,03-JAN-2017,1,2017,Tuesday,16:00:00, Multiple vehicle,1,No,No,No,100
5201701030004,WA,03-JAN-2017,1,2017,Tuesday,15:21:00, Multiple vehicle,1,No,No,No,70
3201701040004,QLD,04-JAN-2017,1,2017,Wednesday,19:00:00, Multiple vehicle,1,No,No,No,100
1201701050004,NSW,05-JAN-2017,1,2017,Thursday,10:18:00,Pedestrian,1,No,No,Yes,60
2201701050001,VIC,05-JAN-2017,1,2017,Thursday,17:28:00, Multiple vehicle,1,No,No,No,100
8201701050001,ACT,05-JAN-2017,1,2017,Thursday,16:00:00,Single vehicle,1,No,No,No, 
2201701060002,VIC,06-JAN-2017,1,2017,Friday,17:00:00, Multiple vehicle,1,No,No,No,100
3201701060005,QLD,06-JAN-2017,1,2017,Friday,1:00:00,Single vehicle,1,No,No,No,100
3201701060006,QLD,06-JAN-2017,1,2017,Friday,19:00:00, Multiple vehicle,1,No,No,No,50
1201701070005,NSW,07-JAN-2017,1,2017,Saturday,12:58:00, Multiple vehicle,1,No,No,No,100
5201701080005,WA,08-JAN-2017,1,2017,Sunday,10:23:00,Single vehicle,1,No,No,No, 
1201701090006,NSW,09-JAN-2017,1,2017,Monday,10:50:00,Single vehicle,1,No,No,No,70
2201701090003,VIC,09-JAN-2017,1,2017,Monday,15:30:00,Single vehicle,1,No,No,No,50
1201701100007,NSW,10-JAN-2017,1,2017,Tuesday,14:20:00, Multiple vehicle,1,No,No,No,100
3201701100007,QLD,10-JAN-2017,1,2017,Tuesday,12:00:00,Pedestrian,1,No,Yes,Yes,100
3201701100008,QLD,10-JAN-2017,1,2017,Tuesday,22:00:00,Single vehicle,1,No,No,No,50
4201701100001,SA,10-JAN-2017,1,2017,Tuesday,9:25:00, Multiple vehicle,1,No,No,No,100
1201701110008,NSW,11-JAN-2017,1,2017,Wednesday,21:30:00,Single vehicle,1,No,No,No,100
2201701110004,VIC,11-JAN-2017,1,2017,Wednesday,3:50:00,Single vehicle,1,No,No,No,100
2201701110005,VIC,11-JAN-2017,1,2017,Wednesday,14:30:00, Multiple vehicle,1,No,No,Yes,100
4201701110002,SA,11-JAN-2017,1,2017,Wednesday,21:00:00,Pedestrian,1,No,No,No,50
5201701110006,WA,11-JAN-2017,1,2017,Wednesday,18:30:00,Single vehicle,1,No,No,No,80
1201701120009,NSW,12-JAN-2017,1,2017,Thursday,21:50:00,Single vehicle,1,No,No,No,100
2201701120006,VIC,12-JAN-2017,1,2017,Thursday,8:55:00, Multiple vehicle,1,No,Yes,No, 
3201701120009,QLD,12-JAN-2017,1,2017,Thursday,0:00:00,Single vehicle,1,No,No,No,80
3201701120010,QLD,12-JAN-2017,1,2017,Thursday,15:00:00, Multiple vehicle,1,No,No,No,60
1201701130010,NSW,13-JAN-2017,1,2017,Friday,14:29:00,Single vehicle,1,No,No,No,50
1201701130011,NSW,13-JAN-2017,1,2017,Friday,18:00:00,Single vehicle,1,No,No,No,100
2201701130007,VIC,13-JAN-2017,1,2017,Friday,16:45:00,Single vehicle,1,No,No,No,100
3201701130011,QLD,13-JAN-2017,1,2017,Friday,18:00:00,Single vehicle,1,No,No,No,80
3201701130012,QLD,13-JAN-2017,1,2017,Friday,22:00:00,Single vehicle,1,No,No,No,50
3201701130013,QLD,13-JAN-2017,1,2017,Friday,22:00:00,Single vehicle,1,No,No,No,80
4201701130003,SA,13-JAN-2017,1,2017,Friday,0:15:00, Multiple vehicle,1,No,Yes,No,110
5201701130007,WA,13-JAN-2017,1,2017,Friday,17:30:00,Single vehicle,1,No,No,No,90
6201701130001,TAS,13-JAN-2017,1,2017,Friday,16:10:00, Multiple vehicle,1,No,No,No,60
6201701130002,TAS,13-JAN-2017,1,2017,Friday,19:00:00,Single vehicle,1,No,No,No,100
2201701140008,VIC,14-JAN-2017,1,2017,Saturday,0:35:00,Single vehicle,1,No,No,No,60
2201701150009,VIC,15-JAN-2017,1,2017,Sunday,16:50:00, Multiple vehicle,1,No,No,No,100
1201701160012,NSW,16-JAN-2017,1,2017,Monday,2:45:00,Pedestrian,1,No,Yes,No,60
2201701160010,VIC,16-JAN-2017,1,2017,Monday,7:59:00,Pedestrian,1,No,No,No,60
3201701160014,QLD,16-JAN-2017,1,2017,Monday,17:00:00, Multiple vehicle,1,No,No,No,80
3201701160015,QLD,16-JAN-2017,1,2017,Monday,18:00:00,Single vehicle,1,No,No,No,70
5201701160008,WA,16-JAN-2017,1,2017,Monday,1:20:00, Multiple vehicle,1,No,Yes,No,50
1201701170013,NSW,17-JAN-2017,1,2017,Tuesday,17:40:00, Multiple vehicle,1,No,No,No,80
2201701170011,VIC,17-JAN-2017,1,2017,Tuesday,16:00:00, Multiple vehicle,1,No,No,Yes,110
1201701180014,NSW,18-JAN-2017,1,2017,Wednesday,13:12:00, Multiple vehicle,3,No,No,No,60
5201701180009,WA,18-JAN-2017,1,2017,Wednesday,5:15:00,Single vehicle,1,No,No,No,110
7201701180001,NT,18-JAN-2017,1,2017,Wednesday,16:58:00, Multiple vehicle,2,No,No,No,110
1201701200015,NSW,20-JAN-2017,1,2017,Friday,21:30:00,Single vehicle,1,No,No,No,100
1201701210016,NSW,21-JAN-2017,1,2017,Saturday,17:25:00, Multiple vehicle,1,No,No,No,70
2201701210012,VIC,21-JAN-2017,1,2017,Saturday,16:47:00, Multiple vehicle,1,No,No,No,60
3201701210016,QLD,21-JAN-2017,1,2017,Saturday,6:00:00, Multiple vehicle,1,No,No,No,100
3201701210017,QLD,21-JAN-2017,1,2017,Saturday,14:00:00, Multiple vehicle,2,No,No,No,90
1201701220017,NSW,22-JAN-2017,1,2017,Sunday,22:25:00,Single vehicle,1,No,No,No,100
2201701220013,VIC,22-JAN-2017,1,2017,Sunday,16:50:00, Multiple vehicle,1,No,No,No,100
1201701230018,NSW,23-JAN-2017,1,2017,Monday,13:30:00,Single vehicle,1,No,No,No,80
1201701230019,NSW,23-JAN-2017,1,2017,Monday,12:05:00,Pedestrian,1,No,Yes,No,60
5201701230010,WA,23-JAN-2017,1,2017,Monday,11:43:00,Single vehicle,1,No,No,No,80
1201701240020,NSW,24-JAN-2017,1,2017,Tuesday,17:25:00, Multiple vehicle,1,No,No,No,90
2201701240014,VIC,24-JAN-2017,1,2017,Tuesday,16:30:00, Multiple vehicle,1,No,No,No,60
3201701240018,QLD,24-JAN-2017,1,2017,Tuesday,3:00:00, Multiple vehicle,1,No,No,No,100
5201701240011,WA,24-JAN-2017,1,2017,Tuesday,19:58:00, Multiple vehicle,1,No,No,No,60
